comment,cleaned_comment
Melihat mas gibran kaya melihat bapak jokowi😍,mas gibran kaya lihat bapak jokowi
Suer pak mahfud visi dan misinya malah dogeng,pak mahfud visi dan misi malah dogeng
Mana yg bilang belimbing sayur belimbing sayur? Kok ngk muncul?,bilang belimbing sayur belimbing sayur ngk muncul
"Menurut sy gibran gagasanx real, sedangkan cawapres lain angan². Seperti kita akan...kita akan...
Fix saatx anak muda berkarya untuk bangsa. Bravo mas gibran sy yakin pilih no. 2",gibran gagasanx real sedang cawapres lain angan kita akankita akan saatx anak muda karya untuk bangsa mas gibran yakin pilih
"Bismillah, maju terus indonesia emas Prabowo Gibran 🤲",maju terus indonesia emas
apakabar firli bahuri....,apakabar firli bahuri
gibran photo copy nya pak jokowi. Ternyata gagasan nya hebat ga kalah dengan profesor. Makin yakin dengan paslon no.2,gibran photo copy nya pak jokowi gagas nya hebat kalah dengan profesor yakin dengan paslon
"4,2 ribu komentar full kagum debat anak muda yg berhadapan dengan senior sekelas prof. dr. .. jos ✌🏻",ribu komentar full kagum debat anak muda hadap dengan senior kelas prof jos
"Pas debat capres yg smart soal visi misi hanya ganjar,,skrng debat cawapres ketemu pak prof dan mas rak peh ngalahin debat capres lebah hebat debat cawapres ini,apa lg gw paling demen sama prof mahfud ini de dlu,kita perlu orang hebat 1 ini🎉",debat capres smart soal visi misi hanya ganjarskrng debat cawapres ketemu pak prof dan mas rak peh ngalahin debat capres lebah hebat debat cawapres iniapa paling demen sama prof mahfud ini dlukita perlu orang hebat ini
"400T Program Makan Siang di Sekolah itu harus berbentuk Voucher Digital by NIK, supaya tidak dikorupsi pengadaannya.",itu harus bentuk nik supaya tidak korupsi ada
"anak buahe prabowo ki bos,,senggol doong😁🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩",anak buahe prabowo bossenggol doong
14 febb 2024 paslon No 2❤❤❤,febb paslon
Saatnya anak muda maju untuk masa depan negri ini hebat debat capres-cawapres tahun ini sangat bagus untuk membangun semangat anak-anak muda untuk menjadi generasi yg lebih baik lgi👍👍👍,anak muda maju untuk masa depan negri ini hebat debat caprescawapres tahun ini sangat bagus untuk bangun semangat anakanak muda untuk jadi generasi lebih baik lgi
"dari 3 calon, gibran yg paling berbobot visi misinya",dari calon gibran paling bobot visi misi
Gibran yess,yess
Dulu mimpin bener sekarang gak bener kayak bapak lu,mimpin bener sekarang gak bener kayak bapak
"y berkembag itu cumn era jowi.desa saya yang ploksok bisa bagus jln dan kalenan air pls internet masu.itu prsiden kita bnar,,maju.gibran prabowo prsidenku amin",berkembag itu cumn era jowidesa saya yang ploksok bisa bagus jln dan kalenan air pls internet masuitu prsiden kita bnarmajugibran prabowo prsidenku amin
Imin suruh jualan nasi goreng aja😂,suruh jual nasi goreng aja
Gus Imin di slepet pak Gibran 😂😂,slepet pak
Trima kasih paman🤣🤣,kasih paman
Pak Prabowo pak gibran cocok❤,pak gibran cocok
"Yg di skor pda milih Pak Mahfud 😅😅😅
Di komentar ini real Prabowo gibran ❤❤❤",skor pda milih komentar ini real gibran
"Gibran seperti Pak jokowi, kecerdasannya tidak bisa ditebak",seperti jokowi cerdas tidak bisa tebak
"the real ""diam itu emas"", pada saat di wajibkan untuk bersuara, luar biasa! ✌️",the real diam itu emas pada saat wajib untuk suara luar biasa
"anak buahe prabowo ki bos,,senggol doong😁🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩",anak buahe prabowo bossenggol doong
Cak iming kurang greget,iming kurang greget
Mas GIBRAN... memang dikau BAYI TABUNG Yang Hebat bisa patahkan yg tue² apalagi penghianat tuh... SIKAT DIA Bran...😂😂😂😂,gibran memang dikau bayi tabung bisa patah tue apalagi penghianat tuh sikat dia
anak buahe prabowo ki bos..senggol dooong😁🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,anak buahe prabowo bossenggol dooong
Jatim Ganjar Mahfud.janfan pilih  02 gagasannya mau naikan pajak,janfan pilih gagas mau naik pajak
"Prasaan kmaren yg di nyinyirin ga siap debat  cawapres gibran dah, tp knapa skrg yg ga siap cak imin 😅",kmaren nyinyirin siap debat cawapres gibran dah knapa skrg siap cak imin
"DARI DULU PARTAI PDIP BICARA KORUPSI, TAPI BELUM PERNAH TUNTAS, MALAH KADER PDIP YANG PALING BANYAK KORUPSI",dari dulu partai pdip bicara korupsi tapi belum pernah tuntas malah kader pdip yang paling banyak korupsi
"Saatny yg muda maju , karena yang tua hy berpikir balik modal",muda maju karena yang tua pikir balik modal
"Berkarakter, sangat menjiwai kemajuan Indonesia. Tenang dalam menjawab seperti menujukkan pribadi yang bertanggung jawab. Mantap Paslon 03.",sangat jiwa maju dalam jawab seperti menujukkan pribadi yang tanggung jawab
"Orang yg ga bnyak  bicara jangan d angap enteng ,  sekali. Berbicara ,  bikin orang   ga bisa ngomong dan klou bicara  masuk akal ,  diam bukan berarti ga  erti apa²  tapi dia  lebih cerdas   pertanyaan   dan jawaban   , d tangapi   dengan tenang dan masuk akal. , bravo 👏   mas gibran  untuk indonesia 🇮🇩  eas",bnyak bicara jangan angap enteng sekali bikin orang bisa ngomong dan klou bicara masuk akal diam bukan arti erti apa tapi dia lebih cerdas tanya dan jawab tangap dengan tenang dan masuk akal bravo mas gibran untuk indonesia eas
Yg paling ga masuk akal ucapannya cak Imin...😅,paling masuk akal ucap cak
"Mas gibran mnta lah.. Gak bertele2 
Cerdas meskipun masih muda tapi paling mntap",gibran mnta lah tele meski masih muda tapi paling mntap
"Menurut saya percuma debat debit.. kalo orang"" di belakang bapak"" semua tetep curang dan memikirkan diri sendiri..",saya percuma debat debit kalo orang belakang bapak semua tetep curang dan pikir diri sendiri
"Gak dapat perdebatan yang serius karena pertanyaan yang dibuat, tidak berbobot. Alias sudah diatur.",dapat debat yang serius karena tanya yang buat tidak bobot sudah atur
DRI sini kita menilai bahwa nomor urut dua di jadikan sebagai nomor urut 1 dn nomor urut 1 di jadika sebagai nomor urut 3.maka kami rakyat tetap pilih nomor urut 1 sebab hal ini suda TDK jelas,dri sini kita nilai bahwa nomor urut dua jadi bagai nomor urut nomor urut jadika bagai nomor urut maka kami rakyat tetap pilih nomor urut sebab hal ini suda tdk jelas
All in akang wowo,akang wowo
GILAAA MAKIN MANTAP SAMA NOMOR 2,gilaaa makin mantap sama nomor
gibran cerdas joss pilihanku,gibran cerdas joss pilih
Indonesia emas butuh pemimpin yg tidak bertele tele .singkat padat jelas dan kerja nyata ❤ lope prabowo gibran ❤,emas butuh pimpin tidak tele tele singkat padat jelas dan kerja nyata lope prabowo gibran
"bangga saya dng cawapres 02, salam milenial",bangga saya dng cawapres salam milenial
DANI.        PUTRA,dan putra
"salam perubahan, yang waras yang punya akal sehat pasti dukungnya bapak anis rasyid Basweda, yang rekam jejaknya jelass..",salam ubah yang waras yang punya akal sehat pasti dukung bapak anis rasyid yang rekam jejak jelass
"mantap si gibran gibran
daripada cak imin",mantap gibran gibran daripada cak imin
"Keren sih ini gibran "" Mengulti yg ingin menjatuhkannya"" Bukan dengan nyinyiran tapi dengan kecerdasan.",sih ini gibran ingin jatuh dengan nyinyir tapi dengan cerdas
amin  sama  anis sepemikiran yg sama2 mau  berantakin banyak  orang gak  percaya  sm kamu  berdua,amin sama anis pikir sama mau berantakin banyak orang gak percaya kamu dua
"Hayoo mas gibran kami rakyat🇮🇩kerjadi🇲🇾pilih 02
Untuk 🇮🇩emas",mas gibran kami rakyatkerjadipilih emas
ga ngaruh... aku tetap golput,ngaruh aku tetap golput
Anis amin menang.,amin menang
"liat aja mereka damai, masa kalian ribut ribut sih...!",liat aja mereka damai masa kalian ribut ribut sih
"Dari 3 pendebat semalam ternyata yang paling unggul malah Gibran, Mahfud MD dan yang terakhir Cak Imin. Penguasaan materi Gibran sangat baik walalupun semula agak grogi. Paslon AMIN yang semula menolak IKN justru tadi malam membuat blunder lag dengan menyatakani akan membangun 40 kota selevel Jakarta dalam masa 5 tahun. Apakah ini realistis? Coba ahli perkotaan dan arsitek berkomentar kalau ini masuk akal. Saya pun semakin tidak yakin bahwa pasangan AMIN bisa lolos ke putaran kedua nanti.",debat malam nyata yang paling unggul malah dan yang akhir materi sangat baik walalupun mula agak grogi amin yang mula tolak ikn justru tadi malam buat blunder lag dengan menyatakani akan bangun kota level dalam masa tahun ini realistis ahli kota dan arsitek komentar kalau ini masuk akal pun makin tidak yakin bahwa pasang amin bisa lolos putar dua nanti
Kualitas anak muda mempuni,anak muda pun
"Cabut dari pdip, demi menjadi cawapres..."", Apakah itu bukan bentuk dari ketidak-konsistenan juga...??? Tapi enjoy aja tuh, seperti tak pernah terjadi apa2. Jadi wajar/sah2 aja dong, klo cak imin juga gak konsisten terhadap proyek ikn. Yang jadi persoalan itu bukan tentang konsisten atau tidak konsisten..."", Melainkan soal dinasti...!!! Dimana, buah (kebijakan) jatuh tidak jauh dari pohonnya (kebijakan).
Like...☝️
- Rempang
- Omnibus Law
- Harga bbm & beras mahal
- Korupsi & oligarki merajalela
- Hutang negara bejibun
- Kebebasan berpendapat dikebiri
- Lemahnya penegakkan hukum
- Dsb.",dari pdip demi jadi cawapres itu bukan bentuk dari ketidakkonsistenan juga enjoy aja tuh seperti tak pernah jadi apa wajarsah aja dong klo cak imin juga gak konsisten hadap proyek ikn jadi soal itu bukan tentang konsisten atau tidak konsisten soal dinasti buah bijak jatuh tidak jauh dari pohon bijak bbm beras mahal oligarki rajalela negara bejibun dapat kebiri tegak hukum
Cak Imin gak nyambung dengan tema...,gak nyambung dengan tema
Mohon maaf ya gus.. pertanyaan ini agak sulit...,maaf gus tanya ini agak sulit
"53.49 -53.50 MEMBUAT LEMBAGA BADAN,, LAHH KEMAREN ADA KPK JUGA YANG KORUPSI MALAHAN BERANI DAN BANYAK DARI PARTAI SIAPE",buat lembaga badan lahh kemaren ada kpk juga yang korupsi malah berani dan banyak dari partai siape
Prabowo gibran paket hebat,gibran paket hebat
Ini gibran bukan gielbran,gibran bukan gielbran
"puas sama gibran, kirain bakalan di sayur sama 2 senior ternyata mampu membuktikan, 
""gw ga seingusan itu ""...!",puas sama gibran kirain bakal sayur sama senior nyata mampu bukti ingus itu
"Cak Imin sabar dan tidak gengsi ketika beliau tidak paham beliau bilang tidak paham kalo pak Mahfud kayak agak emosi, pak Gibran memang muda tapi jangan remehkan jiwa mudanya nyatanya pak Gibran tidak kalah pengetahuannya dengan yg lebih tua mantap, debat cawapres ini sangat luar biasa lebih bagus dari debat capres kemarin, mantap",sabar dan tidak gengsi ketika beliau tidak paham beliau bilang tidak paham kalo pak kayak agak emosi pak memang muda tapi jangan remeh jiwa muda nyata pak tidak kalah tahu dengan lebih tua mantap debat cawapres ini sangat luar biasa lebih bagus dari debat capres kemarin mantap
"Yg jelas yg muda idenya lbh bs di terima kaum milenial utk mnyongsong indonesia emas. Stunting selalu jd masalah serius di negara berkembang. Tanpa solusi tak mngkin indonesia emas bs terwujud.

Program makan siang gratis mnrt sy ide yg brilian. Problem anak² tdk peduli itu kaya atau miskin adl susah makan, dg makan siang breng otomatis meningkatkan nafsu mkn anak dan kasus stunting bs diminimalkan.",jelas muda ide lbh terima kaum milenial utk mnyongsong indonesia emas selalu masalah serius negara kembang solusi tak mngkin indonesia emas wujud makan siang gratis mnrt ide brilian anak tdk peduli itu kaya atau miskin adl susah makan makan siang breng otomatis tingkat nafsu mkn anak dan kasus stunting minimal
Tetap mengawal Ganjar Mahfud 🤟🤟 salam simpatisan banteng muda indonesia Tabanan Bali,awal salam simpatisan banteng muda indonesia
"Saya kira debat ini, Gibran lebih unggul dari pada kedua cawapres lainnya",kira debat ini lebih unggul dari pada dua cawapres lain
Cak iminn waktu 4 menit masih kurang... Haruse 4 jam barus klar baca teks nya,iminn waktu menit masih kurang jam barus klar baca teks nya
Insya Allah AMIN,amin
Aku liat sosok Yongdaime😂 ternyata cucu nya😮👍,liat sosok nyata cucu nya
"Itu penonton nya bisa diem gak sih
Bukanya merenungkan dan memahami isi fisi misi wapres yang di sampaikan malah sibuk teriak"" gak jelas",tonton nya bisa diem gak sih renung dan paham isi fisi misi wapres yang sampai malah sibuk teriak gak jelas
"Kalo bahas dulu.?!??..
Mas gibran kan dlu kata nya mau selesaikan jabatan sebagai walikota juga dlu",bahas dulu gibran kan dlu kata nya mau selesai jabat bagai walikota juga dlu
Jawapan dari Gibran sungguh di luar dugaan. Dengan  kapasitas jawaban yang sangat berbobot dan terarah. Salut...,dari sungguh luar duga kapasitas jawab yang sangat bobot dan arah
"Semua orang jga tau pak Indonesia ini banyak yg korupsi, pertanyaan berani gak hukum gantung para pelaku korupsi",orang jga tau pak ini banyak korupsi tanya berani gak hukum gantung para laku korupsi
Cak imin ini menurut saya cuma berbicara yg indah2 saja kalo dia jadi wapres 😅😅😅😂,imin ini turut saya cuma bicara indah saja kalo dia jadi wapres
Kebanyakan bacaaa nih adeuhh pelupa nanti kalo udah jadi mah pasti 🤣,bacaaa nih adeuhh lupa nanti kalo udah jadi mah pasti
"Lah dulu gibran jg jd walikota krn PDI dn lucunya lawan debatnya tukang jait heehee... Cm ALLAH yg tau maksudnya apa, makan gratis dn minum susu paling cm nina bobo slama nyapres doang jd ingat saat 2019 rame2 rakyat bw berkas utk sertifikat gratis dn sy ikut ngurus di cakung jkt timur eh pas udh kepilih di bubarin smpe hr ini ga ada kejelasan, utk rakyat yg cerdas jgn percaya sm yg janji2 yg kelebihan percaya deh ngibul semua kita udh liat udh ngerasain, sembako mahal, bbm naik mulu, bpjs sm naik mulu blm bnyk lg janji2 kosong.GenZ sih genz tp yg berkualitas ga malu2in saat bicara di forum dunia.",dulu gibran walikota krn pdi lucu lawan debat tukang jait heehee allah tau maksud apa makan gratis minum susu paling nina bobo slama nyapres doang ingat saat rame rakyat berkas utk sertifikat gratis ikut ngurus cakung jkt timur pas udh pilih bubarin smpe ini ada jelas utk rakyat cerdas jgn percaya janji lebih percaya deh ngibul semua kita udh liat udh ngerasain sembako mahal bbm naik mulu bpjs naik mulu blm bnyk janji kosonggenz sih genz kualitas maluin saat bicara forum dunia
"Selagi tangan2 kotor, calo atau apapun sebutannya masih merajalela di indonesia, program apapun yg di gaungkan tidak akan pernah maksimal.",tangan kotor calo atau apa sebut masih rajalela indonesia program apa gaung tidak akan pernah maksimal
"Gw akui Gibran menguasai persoalan. Yang tau solo itu maju apa gak, bisa komen ya. Sebagai pertimbangan",aku kuasa soal tau solo itu maju apa gak bisa komen timbang
"Salam anak rantau 🇮🇩Di 🇲🇾
Saya pilih 02
Pk prabowo Dan mas gibran  untuk 🇮🇩💪💪emas pembanggunan maju
Salam nkri
Harga mati merdeka💪💪💪",anak rantau pilih prabowo mas gibran untuk emas pembanggunan maju nkri mati merdeka
Gila keren bgt Gibran ❤❤❤❤❤🎉🎉,keren bgt
Makin yakin buat pilih prabowo gibran ✌🏻,yakin buat pilih prabowo gibran
"Prabowo nya bagus, sayang Wakilnya dari Dinasti kemaruk. Khawatir Indonesia akan Rusuh karena rakyat sudah muak dengan namanya Dinasti2 an",nya bagus sayang dari kemaruk akan karena rakyat sudah muak dengan nama dinasti
Prov Bengkulu all prabowo,all prabowo
53.07-53.54WHAHAHAHHAAH GIMANE INDONESIA EMAS LAH WONG ANAK MUDA JOGJA BUAT MOBIL ESEMKA KENAPA YANG DI DAGANGIN MOBIL WULINGGG WHHAHAHAH,whahahahhaah gimane indonesia emas lah wong anak muda jogja buat mobil esemka kenapa yang dagangin mobil wulinggg whhahahah
Pak mahfud cerdas tegas luar biasa GAMA yg paling cocok n mampu membangun Indonesia menuju Tahun Emas.,mahfud cerdas tegas luar biasa gama paling cocok mampu bangun tuju
Ooo ternyata cie imin suka nyelepet... jangan² partainya dari hasil nyelepet...🤭,nyata cie imin suka nyelepet jangan partai dari hasil nyelepet
Jgn sampai cawapres dapat bocoran soal nih. Jawabannya cepat dan tepat dan bicaranya luwes seperti sdh mengetahui setiap konteks pertanyaan. Ini pendapat sy saja 😂,sampai cawapres dapat bocor soal nih cepat dan tepat dan bicara luwes seperti sdh tahu tiap konteks tanya dapat saja
"Gak paham sgie tapi ngejawab , jadi jawabannya ngarang atau gimana",paham sgie tapi ngejawab jadi jawab ngarang atau gimana
"Dulu mendukung ikn dengan totalitas sebagai ketum skrng menolak dengan totalitas bahkan menunjukan totalitas nya sebgai cawapres itu sebuah komitmen yang berintegritas.  
Bila dulu totalitas mendukung tapi skrng tidak totalitas dalam menolak itu baru namanya munafik.  
GIBRAN INI dangkal soal santun dalam integritas seseorang 😅",dukung ikn dengan totalitas bagai tum skrng tolak dengan totalitas bahkan tunjuk totalitas nya sebgai cawapres itu buah komitmen yang integritas dulu totalitas dukung tapi skrng tidak totalitas dalam tolak itu baru nama munafik gibran ini dangkal soal santun dalam integritas orang
Gibran gak butuh waktu semua singkat padat jelas gak perlu bertele2,gak butuh waktu semua singkat padat jelas gak perlu tele
Mantap mas Gibran anak muda yg jenius ❤❤❤,mas anak muda jenius
